SiteName,race_for_center,lat,long,SurveyYear,SurveyPeriod,SurveyResponseID,Q1 - DoMoreVolunteerWork,Q2 - SeeFriendsMore,Q3 - TakeCareOfHealth,Q4 - EatBetterMeals,Q5 - HaveMoreEnergy,Q6 - FeelHappier,Q7 - SomethingToLookForwardTo,Q9 - FeelIndependent,Q10 - FeelSeniorCenterPositiveEffect,Q11 - LearnNewThings,Q12 - LearnedAboutServices,Q13 - MoreActive,Q14 - WouldRecommendSeniorCenter
ACRS,"Asian, Asian-American",47.571763,-122.297273,2016.004405,1.491189427,5165.814978,2.288546256,2.757709251,2.795154185,2.707048458,2.753303965,2.845814978,2.660792952,2.704845815,2.843612335,2.733480176,2.656387665,2.817180617,2.746696035
Ballard NW Senior Center,White or Caucasian,47.668534,-122.398667,2016.087925,1.467760844,6814.029308,2.1992966,2.664712778,2.638921454,2.533411489,2.627198124,2.78077374,2.712778429,2.770222743,2.901524033,2.675263775,2.705744431,2.679953107,2.939038687
CISC,"Asian, Asian-American",47.596407,-122.325425,2016.510753,1.607526882,7118.33871,2.193548387,2.725806452,2.822580645,2.634408602,2.704301075,2.827956989,2.720430108,2.76344086,2.887096774,2.715053763,2.731182796,2.731182796,2.731182796
Central Area Senior Center,"Black, African-American, Other African",47.59746,-122.293248,2015.932264,1.502673797,6757.672014,2.14973262,2.693404635,2.693404635,2.529411765,2.563279857,2.750445633,2.693404635,2.707664884,2.877005348,2.679144385,2.609625668,2.707664884,2.946524064
Greenwood Senior Center,White or Caucasian,47.690646,-122.350822,2016.021459,1.502145923,5192.313305,1.787553648,2.508583691,2.540772532,2.356223176,2.43776824,2.686695279,2.570815451,2.570815451,2.85193133,2.716738197,2.581545064,2.525751073,2.871244635
IDIC,"Asian, Asian-American",47.536541,-122.293494,2016.015351,1.460526316,6504.785088,2.38377193,2.822368421,2.824561404,2.837719298,2.809210526,2.86622807,2.785087719,2.776315789,2.861842105,2.747807018,2.817982456,2.802631579,2.896929825
Pike Market Senior Center,White or Caucasian,47.608459,-122.340563,2016.286227,1.492826399,6315.660689,1.965566714,2.360114778,2.585365854,2.617647059,2.466284075,2.548780488,2.510760402,2.584648494,2.675035868,2.427546628,2.494261119,2.463414634,2.785509326
South Park,White or Caucasian,47.528514,-122.323982,2017,2,9040.5,2.425925926,2.648148148,2.833333333,2.833333333,2.685185185,2.666666667,2.574074074,2.796296296,2.833333333,2.648148148,2.611111111,2.666666667,2.796296296
South Park Senior Center,White or Caucasian,47.52968,-122.32056,2015.802281,1.36121673,4247.102662,2.148288973,2.486692015,2.570342205,2.619771863,2.482889734,2.615969582,2.486692015,2.517110266,2.688212928,2.520912548,2.604562738,2.6121673,2.836501901
Southeast Senior Center,"Black, African-American, Other African",47.542382,-122.273045,2016.03169,1.507042254,7160.551056,2.220070423,2.61443662,2.670774648,2.573943662,2.507042254,2.741197183,2.698943662,2.771126761,2.85915493,2.575704225,2.617957746,2.660211268,2.903169014
Sunshine Garden,"Asian, Asian-American",47.596545,-122.325397,2015,1.543103448,1117.163793,2.181034483,2.663793103,2.681034483,2.551724138,2.525862069,2.715517241,2.629310345,2.681034483,2.775862069,2.681034483,2.681034483,2.672413793,2.655172414
Wallingford Senior Center,White or Caucasian,47.664203,-122.331203,2015.835655,1.456824513,4177.766017,2.122562674,2.582172702,2.593314763,2.520891365,2.593314763,2.763231198,2.590529248,2.682451253,2.927576602,2.6545961,2.618384401,2.662952646,2.941504178
West Seattle Senior Center,White or Caucasian,47.562936,-122.386542,2015.978261,1.493478261,6875.921739,1.982608696,2.610869565,2.508695652,2.364130435,2.416304348,2.688043478,2.551086957,2.65326087,2.834782609,2.608695652,2.54673913,2.533695652,2.892391304
